codePC,descPC,codeRC,descRC,typeObjet,niveau,commentaireObligatoire,Gravité
P00M,"Porte tunnel coupe-feu. Réglage du mécanisme du ferme-porte (frein à l'ouverture, vitesse de fermeture, à-coup final)",P00M-OK,Pas de défaut (OK),issue,Maintenance annuelle,False,Non concerné
P00M,"Porte tunnel coupe-feu. Réglage du mécanisme du ferme-porte (frein à l'ouverture, vitesse de fermeture, à-coup final)",P00M-NOK,Défaut constaté (NOK),issue,Maintenance annuelle,True,Défaut majeur
P00M,"Porte tunnel coupe-feu. Réglage du mécanisme du ferme-porte (frein à l'ouverture, vitesse de fermeture, à-coup final)",P00M-SO,Sans objet - local non équipé (SO),issue,Maintenance annuelle,False,Non concerné
P00M,"Porte tunnel coupe-feu. Réglage du mécanisme du ferme-porte (frein à l'ouverture, vitesse de fermeture, à-coup final)",P00M-NE,Contrôle non effectué (NE),issue,Maintenance annuelle,True,Défaut majeur
P01M,Porte tunnel coupe-feu. Réglage du mécanisme de clenche/poignée,P01M-OK,Pas de défaut (OK),issue,Maintenance annuelle,False,Non concerné
P01M,Porte tunnel coupe-feu. Réglage du mécanisme de clenche/poignée,P01M-NOK,Défaut constaté (NOK),issue,Maintenance annuelle,True,Défaut majeur
P01M,Porte tunnel coupe-feu. Réglage du mécanisme de clenche/poignée,P01M-SO,Sans objet : local non équipé (SO),issue,Maintenance annuelle,False,Non concerné
P01M,Porte tunnel coupe-feu. Réglage du mécanisme de clenche/poignée,P01M-NE,Contrôle non effectué (NE),issue,Maintenance annuelle,True,Défaut majeur
P02M,Porte tunnel coupe-feu. Réglage du mécanisme du pêne,P02M-OK,Pas de défaut (OK),issue,Maintenance annuelle,False,Non concerné
P02M,Porte tunnel coupe-feu. Réglage du mécanisme du pêne,P02M-NOK,Défaut constaté (NOK),issue,Maintenance annuelle,True,Défaut majeur
P02M,Porte tunnel coupe-feu. Réglage du mécanisme du pêne,P02M-SO,Sans objet : local non équipé (SO),issue,Maintenance annuelle,False,Non concerné
P02M,Porte tunnel coupe-feu. Réglage du mécanisme du pêne,P02M-NE,Contrôle non effectué (NE),issue,Maintenance annuelle,True,Défaut majeur
P03M,Porte tunnel coupe-feu. Réglage du mécanisme de la barre antipanique,P03M-OK,Pas de défaut (OK),issue,Maintenance annuelle,False,Non concerné
P03M,Porte tunnel coupe-feu. Réglage du mécanisme de la barre antipanique,P03M-NOK,Défaut constaté (NOK),issue,Maintenance annuelle,True,Défaut majeur
P03M,Porte tunnel coupe-feu. Réglage du mécanisme de la barre antipanique,P03M-SO,Sans objet : local non équipé (SO),issue,Maintenance annuelle,False,Non concerné
P03M,Porte tunnel coupe-feu. Réglage du mécanisme de la barre antipanique,P03M-NE,Contrôle non effectué (NE),issue,Maintenance annuelle,True,Défaut majeur
P04M,Porte tunnel coupe-feu. Graissage des parties métalliques mobiles du ferme-porte,P04M-OK,Pas de défaut (OK),issue,Maintenance annuelle,False,Non concerné
P04M,Porte tunnel coupe-feu. Graissage des parties métalliques mobiles du ferme-porte,P04M-NOK,Défaut constaté (NOK),issue,Maintenance annuelle,True,Défaut majeur
P04M,Porte tunnel coupe-feu. Graissage des parties métalliques mobiles du ferme-porte,P04M-SO,Sans objet : local non équipé (SO),issue,Maintenance annuelle,False,Non concerné
P04M,Porte tunnel coupe-feu. Graissage des parties métalliques mobiles du ferme-porte,P04M-NE,Contrôle non effectué (NE),issue,Maintenance annuelle,True,Défaut majeur
P05M,Porte tunnel coupe-feu. Remplacement de la visserie manquante ou détériorée,P05M-OK,Pas de défaut (OK),issue,Maintenance annuelle,False,Non concerné
P05M,Porte tunnel coupe-feu. Remplacement de la visserie manquante ou détériorée,P05M-NOK,Défaut constaté (NOK),issue,Maintenance annuelle,True,Défaut majeur
P05M,Porte tunnel coupe-feu. Remplacement de la visserie manquante ou détériorée,P05M-SO,Sans objet : local non équipé (SO),issue,Maintenance annuelle,False,Non concerné
P05M,Porte tunnel coupe-feu. Remplacement de la visserie manquante ou détériorée,P05M-NE,Contrôle non effectué (NE),issue,Maintenance annuelle,True,Défaut majeur
P06M,"Porte(s) sas à l'intérieur de l'issue. Réglage du mécanisme du ferme-porte (frein à l'ouverture, vitesse de fermeture, à-coup final)",P06M-OK,Pas de défaut (OK),issue,Maintenance annuelle,False,Non concerné
P06M,"Porte(s) sas à l'intérieur de l'issue. Réglage du mécanisme du ferme-porte (frein à l'ouverture, vitesse de fermeture, à-coup final)",P06M-NOK,Défaut constaté (NOK),issue,Maintenance annuelle,True,Défaut majeur
P06M,"Porte(s) sas à l'intérieur de l'issue. Réglage du mécanisme du ferme-porte (frein à l'ouverture, vitesse de fermeture, à-coup final)",P06M-SO,Sans objet : local non équipé (SO),issue,Maintenance annuelle,False,Non concerné
P06M,"Porte(s) sas à l'intérieur de l'issue. Réglage du mécanisme du ferme-porte (frein à l'ouverture, vitesse de fermeture, à-coup final)",P06M-NE,Contrôle non effectué (NE),issue,Maintenance annuelle,True,Défaut majeur
P07M,Porte(s) sas à l'intérieur de l'issue. Réglage du mécanisme de clenche/poignée,P07M-OK,Pas de défaut (OK),issue,Maintenance annuelle,False,Non concerné
P07M,Porte(s) sas à l'intérieur de l'issue. Réglage du mécanisme de clenche/poignée,P07M-NOK,Défaut constaté (NOK),issue,Maintenance annuelle,True,Défaut majeur
P07M,Porte(s) sas à l'intérieur de l'issue. Réglage du mécanisme de clenche/poignée,P07M-SO,Sans objet : local non équipé (SO),issue,Maintenance annuelle,False,Non concerné
P07M,Porte(s) sas à l'intérieur de l'issue. Réglage du mécanisme de clenche/poignée,P07M-NE,Contrôle non effectué (NE),issue,Maintenance annuelle,True,Défaut majeur
P08M,Porte(s) sas à l'intérieur de l'issue. Réglage du mécanisme du pêne,P08M-OK,Pas de défaut (OK),issue,Maintenance annuelle,False,Non concerné
P08M,Porte(s) sas à l'intérieur de l'issue. Réglage du mécanisme du pêne,P08M-NOK,Défaut constaté (NOK),issue,Maintenance annuelle,True,Défaut majeur
P08M,Porte(s) sas à l'intérieur de l'issue. Réglage du mécanisme du pêne,P08M-SO,Sans objet : local non équipé (SO),issue,Maintenance annuelle,False,Non concerné
P08M,Porte(s) sas à l'intérieur de l'issue. Réglage du mécanisme du pêne,P08M-NE,Contrôle non effectué (NE),issue,Maintenance annuelle,True,Défaut majeur
